,country_name,country_text_id,v2x_polyarchy
16581,Republic of the Congo,COG,0.244
16703,Djibouti,DJI,0.252
16915,Dominican Republic,DOM,0.683
17037,Eritrea,ERI,0.069
17149,Gabon,GAB,0.377
17271,The Gambia,GMB,0.499
17303,Georgia,GEO,0.648
17425,Guinea-Bissau,GNB,0.557
17547,Jamaica,JAM,0.806
17579,Kazakhstan,KAZ,0.257
17611,Kyrgyzstan,KGZ,0.421
17733,Laos,LAO,0.133
17881,Libya,LBY,0.272
18086,Madagascar,MDG,0.481
18118,Moldova,MDA,0.738
18240,Namibia,NAM,0.634
18297,Palestine/West Bank,PSE,0.253
18403,Rwanda,RWA,0.236
18525,Somalia,SOM,0.163
18647,Sri Lanka,LKA,0.573
18769,Eswatini,SWZ,0.129
18801,Tajikistan,TJK,0.184
18907,Togo,TGO,0.368
19029,Trinidad and Tobago,TTO,0.775
19061,Turkmenistan,TKM,0.15
19141,Palestine/Gaza,PSG,0.134
19232,Somaliland,SML,0.413
19396,Uzbekistan,UZB,0.216
19623,Austria,AUT,0.825
19745,Bahrain,BHR,0.122
19867,Barbados,BRB,0.797
20066,Belgium,BEL,0.885
20096,Bosnia and Herzegovina,BIH,0.526
20240,Bulgaria,BGR,0.656
20330,Comoros,COM,0.32
20365,Croatia,HRV,0.751
20598,Cuba,CUB,0.181
20720,Cyprus,CYP,0.816
20824,Czech Republic,CZE,0.805
21057,Denmark,DNK,0.908
21179,Equatorial Guinea,GNQ,0.174
21233,Estonia,EST,0.891
21355,Fiji,FJI,0.403
21568,Finland,FIN,0.868
21768,Greece,GRC,0.797
21890,Guyana,GUY,0.537
22012,Hong Kong,HKG,0.267
22134,Iceland,ISL,0.832
22208,Israel,ISR,0.739
22441,Kuwait,KWT,0.298
22495,Lithuania,LTU,0.797
22702,Luxembourg,LUX,0.878
22733,North Macedonia,MKD,0.586
22855,Malaysia,MYS,0.413
22977,Malta,MLT,0.777
23099,Mauritius,MUS,0.593
23253,Montenegro,MNE,0.496
23434,New Zealand,NZL,0.887
23667,Norway,NOR,0.898
23900,Oman,OMN,0.176
24111,Paraguay,PRY,0.57
24344,Romania,ROU,0.782
24466,Sao Tome and Principe,STP,0.688
24696,Saudi Arabia,SAU,0.016
24913,Serbia,SRB,0.336
25032,Seychelles,SYC,0.667
25187,Singapore,SGP,0.404
25222,Slovakia,SVK,0.846
25255,Slovenia,SVN,0.703
25377,Solomon Islands,SLB,0.626
25499,Vanuatu,VUT,0.777
25550,United Arab Emirates,ARE,0.1
25814,Hungary,HUN,0.462
25980,Zanzibar,ZZB,0.263
