"code","desc"
"081190","Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter"
"081210","Fruit, edible; cherries, provisionally preserved, but unsuitable in that state for immediate consumption"
"081290","Fruit, edible; fruit and nuts n.e.c. in heading no. 0812, provisionally preserved, but unsuitable in that state for immediate consumption"
"081310","Fruit, edible; apricots, dried"
"081320","Fruit, edible; prunes, dried"
"081330","Fruit, edible; apples, dried"
"081340","Fruit, edible; fruit n.e.c. in heading no. 0812, dried"
"081350","Nuts, edible; mixtures of nuts or dried fruits of chapter 08"
"081400","Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions"
"090111","Coffee; not roasted or decaffeinated"
"090112","Coffee; decaffeinated, not roasted"
"090121","Coffee; roasted, not decaffeinated"
"090122","Coffee; roasted, decaffeinated"
"090190","Coffee; husks and skins, coffee substitutes containing coffee in any proportion"
"090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg"
"090220","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg"
"090230","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg"
"090240","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg"
"090300","Mate"
"090411","Spices; pepper (of the genus piper), neither crushed nor ground"
"090412","Spices; pepper (of the genus piper), crushed or ground"
"090421","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground"
"090422","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground"
"090510","Spices; vanilla, neither crushed nor ground"
"090520","Spices; vanilla, crushed or ground"
"090611","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground"
"090619","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground"
"090620","Spices; cinnamon and cinnamon-tree flowers, crushed or ground"
"090710","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground"
"090720","Spices; cloves (whole fruit, cloves and stems), crushed or ground"
"090811","Spices; nutmeg, neither crushed nor ground"
"090812","Spices; nutmeg, crushed or ground"
"090821","Spices; mace, neither crushed nor ground"
"090822","Spices; mace, crushed or ground"
"090831","Spices; cardamoms, neither crushed nor ground"
"090832","Spices; cardamoms, crushed or ground"
"090921","Spices; coriander seeds, neither crushed nor ground"
"090922","Spices; coriander seeds, crushed or ground"
"090931","Spices; cumin seeds, neither crushed nor ground"
"090932","Spices; cumin seeds, crushed or ground"
"090961","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground"
"090962","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground"
"091011","Spices; ginger, neither crushed nor ground"
"091012","Spices; ginger, crushed or ground"
"091020","Spices; saffron"
"091030","Spices; turmeric (curcuma)"
"091091","Spices; mixtures of 2 or more products of different headings"
"091099","Spices; n.e.c. in heading no. 0910"
"100111","Cereals; wheat and meslin, durum wheat, seed"
"100119","Cereals; wheat and meslin, durum wheat, other than seed"
"100191","Cereals; wheat and meslin, other than durum wheat, seed"
"100199","Cereals; wheat and meslin, other than durum wheat, other than seed"
"100210","Cereals; rye, seed"
"100290","Cereals; rye, other than seed"
"100310","Cereals; barley, seed"
"100390","Cereals; barley, other than seed"
"100410","Cereals; oats, seeds"
"100490","Cereals; oats, other than seed"
"100510","Cereals; maize (corn), seed"
"100590","Cereals; maize (corn), other than seed"
"100610","Cereals; rice in the husk (paddy or rough)"
"100620","Cereals; husked (brown) rice"
"100630","Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed"
"100640","Cereals; rice, broken"
"100710","Cereals; grain sorghum, seed"
"100790","Cereals; grain sorghum, other than seed"
"100810","Cereals; buckwheat"
"100821","Cereals; millet, seed"
"100829","Cereals; millet, other than seed"
"100830","Cereals; canary seeds"
"100840","Cereals; fonio (Digitaria spp.)"
"100850","Cereals; quinoa (Chenopodium quinoa)"
"100860","Cereals; triticale"
"100890","Cereals; n.e.c. in chapter 10"
"110100","Wheat or meslin flour"
"110220","Cereal flour; of maize (corn)"
"110290","Cereal flours; other than wheat, meslin, and maize (corn)"
"110311","Cereal groats and meal; of wheat"
"110313","Cereal groats and meal; of maize (corn)"
"110319","Cereal groats and meal; n.e.c. in heading no. 1103"
"110320","Cereal pellets"
"110412","Cereal grains; rolled or flaked, of oats"
"110419","Cereal grains; rolled or flaked, other than oats"
"110422","Cereal grains; worked (e.g. hulled, pearled, sliced or kibbled) of oats"
"110423","Cereal grains; worked (e.g. hulled, pearled, sliced or kibbled) of maize (corn)"
"110429","Cereal grains; worked, other than rolled or flaked (e.g. Hulled, pearled, sliced or kibbled) of cereals, excluding oats and maize, and rice of heading no.1006"
"110430","Cereal; germ of cereals, whole, rolled, flaked or ground"
"110510","Flour, meal and powder; of potatoes"
"110520","Flakes, granules and pellets; of potatoes"
"110610","Flour, meal and powder; of the dried leguminous vegetables of heading no. 0713"
"110620","Flour, meal and powder; of sago or of roots or tubers of heading no. 0714"
"110630","Flour, meal and powder; of the products of chapter 8"
"110710","Malt; not roasted"
"110720","Malt; roasted"
"110811","Starch; wheat"
"110812","Starch; maize (corn) starch"
"110813","Starch; potato"
"110814","Starch; manioc (cassava)"
"110819","Starch; n.e.c. in item no. 1108.11 to 1108.14"
"110820","Inulin"
"110900","Wheat gluten; whether or not dried"
"120110","Soya beans; seed, whether or not broken"
"120190","Soya beans; other than seed, whether or not broken"
"120230","Ground-nuts; seed, not roasted or otherwise cooked, whether or not shelled or broken"
"120241","Ground-nuts; other than seed, not roasted or otherwise cooked, in shell"
"120242","Ground-nuts; other than seed, not roasted or otherwise cooked, shelled, whether or not broken,"
"120300","Copra"
"120400","Oil seeds; linseed, whether or not broken"
"120510","Oil seeds; low erucic acid rape or colza seeds, whether or not broken"
"120590","Oil seeds; rape or colza seeds, other than low erucic, whether or not broken"
"120600","Oil seeds; sunflower seeds, whether or not broken"
"120710","Oil seeds; palm nuts and kernels, whether or not broken"
"120721","Oil seeds; cotton seeds, seed, whether or not broken"
"120729","Oil seeds; cotton seeds, other than seed, whether or not broken"
"120730","Oil seeds; castor oil seeds, whether or not broken"
"120740","Oil seeds; sesamum seeds, whether or not broken"
"120750","Oil seeds; mustard seeds, whether or not broken"
"120760","Oil seeds; safflower (Carthamus tinctorius) seeds, whether or not broken"
"120770","Oil seeds; melon seeds, whether or not broken"
"120791","Oil seeds; poppy seeds, whether or not broken"
"120799","Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken"
"120810","Flours and meals; of soya beans"
"120890","Flours and meals of oil seeds or oleaginous fruits; excluding soya beans and mustard seeds"
"120910","Seed; sugar beet seeds, of a kind used for sowing"
"120921","Seeds of forage plants; lucerne (alfalfa) seeds, of a kind used for sowing"
"120922","Seeds of forage plants; clover (Trifolium spp.) seeds, of a kind used for sowing"
"120923","Seeds of forage plants; fescue seeds, of a kind used for sowing"
"120924","Seeds of forage plants; Kentucky blue grass (Poa pratensis L.) seeds, of a kind used for sowing"
"120925","Seeds of forage plants; rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds, of a kind used for sowing"
"120929","Seeds of forage plants; other than lucerne, clover, fescue, Kentucky blue grass, and rye grass seeds, of a kind used for sowing"
"120930","Seeds of herbaceous plants; cultivated principally for their flowers, of a kind used for sowing"
"120991","Seeds; vegetable seeds, of a kind used for sowing"
"120999","Seeds; n.e.c. in heading 1209, of a kind used for sowing"
"121010","Hop cones; neither ground nor powdered nor in the form of pellets"
"121020","Hop cones; ground, powdered or in the form of pellets; lupulin"
"121120","Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
"121130","Coca leaf; of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
"121140","Poppy straw; of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
"121150","Ephedra, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
"121190","Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
"121221","Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121229","Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121291","Sugar beet; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121292","Locust beans (carob); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121293","Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121294","Chicory roots (Chicorium intybus sativum); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
"121299","Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground"
"121300","Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets"
"121410","Lucerne (alfalfa) meal and pellets"
"121490","Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise"
"130120","Gum Arabic"
"130190","Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301"
"130211","Vegetable saps and extracts; opium"
"130212","Vegetable saps and extracts; of liquorice"
"130213","Vegetable saps and extracts; of hops"
"130214","Vegetable saps and extracts; of ephedra"
"130219","Vegetable saps and extracts; n.e.c. in item no. 1302.1"
"130220","Pectic substances; pectinates and pectates"
"130231","Mucilages and thickeners; agar-agar, whether or not modified, derived from vegetable products"
"130232","Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds"
"130239","Mucilages and thickeners; whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3"
"140110","Bamboo used primarily for plaiting"
"140120","Rattans used primarily for plaiting"
"140190","Vegetable materials of a kind used primarily for plaiting; n.e.c. in heading no. 1401"
"140420","Vegetable products; cotton linters"
"140490","Vegetable products; n.e.c. in chapter 14"
"150110","Pig fat; lard, other than that of heading 0209 and 1503"
"150120","Pig fat; not lard, other than that of heading 0209 or 1503"
"150190","Poultry fat; other than that of heading 0209 or 1503"
"150210","Tallow; other than those of heading 1503"
"150290","Fats of bovine animals, sheep or goats; excluding tallow, and other than those of heading 1503"
"150300","Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil; not emulsified or mixed or otherwise prepared"
"150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified"
"150420","Fats and oils and their fractions; of fish, (excluding liver-oils)"
"150430","Fats and oils and their fractions; of marine mammals"
"150500","Wool grease and fatty substances derived therefrom (including lanolin)"
"150600","Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.c. in chapter 15"
"150710","Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified"
"150790","Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"150810","Vegetable oils; ground-nut oil and its fractions, crude, not chemically modified"
"150890","Vegetable oils; ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"150910","Vegetable oils; olive oil and its fractions, virgin, whether or not refined, but not chemically modified"
"150990","Vegetable oils; olive oil and its fractions, other than virgin, whether or not refined, but not chemically modified"
"151000","Vegetable oils; oils and their fractions n.e.c. in chapter 15, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509"
"151110","Vegetable oils; palm oil and its fractions, crude, not chemically modified"
"151190","Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"151211","Vegetable oils; sunflower seed or safflower oil and their fractions, crude, not chemically modified"
"151219","Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified"
"151221","Vegetable oils; cotton-seed oil and its fractions; crude, whether or not gossypol has been removed, not chemically modified"
"151229","Vegetable oils; cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"151311","Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified"
"151319","Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"151321","Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified"
"151329","Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified"
"151411","Vegetable oils; low erucic acid rape or colza oil and its fractions, crude"
"151419","Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified"
"151491","Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude"
"151499","Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified"
"151511","Vegetable oils; linseed oil and its fractions, crude, not chemically modified"
"151519","Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"151521","Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified"
"151529","Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified"
"151530","Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified"
"151550","Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified"
"151590","Vegetable fats and oils and their fractions; fixed, n.e.c. in heading no. 1515, whether or not refined, but not chemically modified"
"151610","Animal fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
"151620","Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
"151710","Margarine; excluding liquid margarine"
"151790","Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516"
"151800","Animal or vegetable fats and oils and their fractions; oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils"
"152000","Glycerol, crude; glycerol waters and glycerol lyes"
"152110","Vegetable waxes (other than triglycerides); whether or not refined or coloured"
"152190","Waxes, other than vegetable, n.e.c. in heading no. 1521; whether or not refined or coloured"
"152200","Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes"
"170112","Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter"
"170113","Sugars; cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
"170114","Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
"170191","Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter"
"170199","Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter"
"170211","Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter"
"170219","Sugars; lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter"
"170220","Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter"
"170230","Sugars; glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter"
"170240","Sugars; glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter"
"170250","Sugars; fructose, chemically pure, in solid form"
"170260","Sugars; fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar"
"170290","Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose"
"170310","Sugars; molasses, from sugar cane, resulting from the extraction or refining of sugar"
"170390","Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar"
"170410","Sugar confectionery; chewing gum, whether or not sugar-coated, not containing cocoa"
"170490","Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa"
"180100","Cocoa beans; whole or broken, raw or roasted"
"180200","Cocoa; shells, husks, skins and other cocoa waste"
"180310","Cocoa; paste, not defatted"
"180320","Cocoa; paste, wholly or partly defatted"
"180400","Cocoa; butter, fat and oil"
